year|docket_number|facts_of_the_case|question
1956|442|"The Food and Drug Administration (""FDA"") fired Kendrick Cole when it determined that his employment was not ""clearly consistent with the interests of national security."" Mr. Cole was a food and drug inspector and a ""preference-eligible veteran,"" but was charged with having ""a close association with individuals reliably reported to be Communists."" Mr. Cole appealed his discharge to the Civil Service Commission, which denied his appeal, finding that the Veterans' Preference Act did not afford Mr. Cole a right of appeal under the circumstances. Mr. Cole brought an action seeking declaratory judgment in the District of Columbia federal district court alleging that his discharge was invalid and that the Civil Service Commission improperly denied his appeal. The district court dismissed the case and the U.S. Court of Appeals for the District of Columbia affirmed."|When may an employee be discharged under the Veterans' Preference Act for implicating national security?
1956|10|Nelson, a member of the Communist Party, was convicted of violating the Pennsylvania Sedition Act. This Act was implemented prior to Congress's adoption of the Smith Act of 1940 (amended in 1948) which prohibited the same conduct as Pennsylvania's law.|Did the Smith Act supersede enforcement of Pennsylvania's sedition law?
1956|95|Judson Griffin and James Crenshaw were indicted for armed robbery in Cook County, Illinois. Following their conviction, in preparation for filling for an appeal, Griffin and Crenshaw requested a transcript of their trial proceedings without cost, on the basis that they could not afford the standard fee for the transcript. The lower court dismissed the petition without hearing evidence.|Did requiring Griffin and Crenshaw to pay a fee with their request for a transcript of their trial proceedings violate their rights under the Due Process and Equal Protection clauses of the Fourteenth Amendment?
1957|701|"While residing at an airbase in England as a military dependent, Mrs. Clarice Covert was tried and convicted by court-martial for the murder of her husband, a sergeant in the United States Air Force. Mrs. Covert was not a member of the armed forces. Her trial and subsequent conviction by court martial in the United States was authorized under Article 2(11) of the United States Code of Military Justice. Mrs. Covert filed a petition for a writ of habeas corpus in federal district court alleging that her conviction by military authorities had violated her constitutional rights under the Fifth and Sixth Amendments. The district court, holding that ""a civilian is entitled to a civilian trial,"" granted her petition. The Government appealed directly to the United States Supreme Court.In its initial decision of the case (351 U.S. 487), the Court held that Mrs. Covert's military trial was constitutional, that the Constitutional right to a trial by jury did not apply to American citizens tried in foreign lands. Congress, the Court held, could provide for trial by any means it saw fit so long as such means were reasonable and consistent with due process. Justice Felix Frankfurter issued a lengthy reservation, and Chief Justice Earl Warren together with Justices Hugo L. Black and William O. Douglas issued a strong dissent. The Court subsequently granted a petition for rehearing."|Do American citizens abroad retain the rights granted to them by the Bill of Rights thus rendering Article 2(11) of the United State Code of Military Justice unconstitutional?
1958|70|"In 1944, United States Army private Albert Trop escaped from a military stockade at Casablanca, Morocco, following his confinement for a disciplinary violation. A day later, Trop willingly surrendered to an army truck headed back to Casablanca. Despite testifying that he ""decided to return to the stockade"" when he was picked up, a general court martial convicted Trop of desertion and sentenced him to three years at hard labor, loss of all pay and allowances, and a dishonorable discharge. In 1952, Trop applied for a passport. His application was rejected under Section 401(g) of the amended 1940 Nationality Act, on the ground that he lost his citizenship due to his conviction and dishonorable discharge for wartime desertion. After failing to obtain a declaratory judgment that he was a US citizen, from both a district and the Second Circuit Court of Appeals, Trop appealed to the Supreme Court, which granted certiorari."|"Did Section 401(g) of the amended 1940 Nationality Act (the ""Act"") allow for an unconstitutional punishment by authorizing the expatriation of a citizen convicted of wartime desertion?"
1957|23|Clinton Jencks, a union leader, was charged with falsely filing an Affidavit of Non-Communist Union Officer with the National Labor Relations Board. Two undercover informants for the Federal Bureau of Investigation (FBI) testified against Jencks, and reported that he had been seen at Communist Party events and working with Communist Party members. The evidence provided against Jencks was entirely circumstantial, and the prosecution's evidence rested largely on the testimonies and reports of the undercover informants. Jencks requested the testimony of the informants to review their credibility and admissibility in court. The trial court denied his request without stating the reasons, and Jencks was found guilty on two counts of communist activity and sentenced to five years imprisonment for each offense. Jencks appealed the lower court's decision on the grounds that the informants' reports should have been provided for review to determine their use in the trial and on the grounds that the jury was improperly instructed on the definitions of political party membership. The U.S. Court of Appeals for the Fifth Circuit affirmed the decision of the lower court.|Can a defendant request testimonial documents for admissibility in trial if those documents potentially contain classified information and possible disclosure of state secrets?
1957|58|"On August 12, 1954, agents of the Federal Bureau of Narcotics (""FBN"") and the Chicago Police Department met twice with Albert Roviaro near the intersection of 75th Street and Prairie Avenue in Chicago. According to Agent Norris Durham of the FBN, after the second meeting, Detective Byson of the Chicago police climbed into the trunk of a Cadillac sedan owned and driven by ""John Doe,"" an informant for the government. The trunk was propped open slightly to preserve Byson's line of sight. John Doe drove the car to 74th Street and St. Lawrence Avenue, where Alberto Roviaro got out of a Pontiac sedan. Roviaro entered the Cadillac sedan and took a seat next to the driver, John Doe.Durham followed the Cadillac, which took a circuitous rote to Champlain Avenue and 74th Street. He observed Roviaro leave the Cadillac and walk to a nearby tree, where he picked up a small package. Byson confirmed this from his vantage point in the Cadillac's trunk. Roviaro then walked to the car's open right front door and motioned as if he was leaving the package inside. A chemist working for the United States later identified the package's contents as heroin.The government charged Roviaro with trafficking heroin, in violation of the Narcotic Drugs Import and Export Act. He was convicted, and the district court denied his motion for a new trial. The U.S. Court of Appeals, Seventh Circuit, affirmed the ruling. Judge Walter Lindley, writing for a unanimous court, held that because John Doe was not a participant in Roviaro's actual possession of heroin, Roviaro is not entitled to full disclosure of his identity."|In a prosecution for trafficking heroin, may the government conceal informant John Doe's identity if he helped to set up the sale of heroin and was present during the sale?
1957|199|Not Available.|Not Available.
1957|521|Andrew Mallory was arrested by federal officers on charges of rape. Upon arresting Mallory, the officers questioned him until he confessed roughly seven hours later. After the confession, the police officers sought to reach a United States Commissioner for the purpose of arraigning Mallory.|Did the questioning of Mallory prior to his appearance before a commissioner violate Due Process and the Federal Rules of Criminal Procedure?
1957|582|Roth operated a book-selling business in New York and was convicted of mailing obscene circulars and an obscene book in violation of a federal obscenity statute. Roth's case was combined with Alberts v. California, in which a California obscenity law was challenged by Alberts after his similar conviction for selling lewd and obscene books in addition to composing and publishing obscene advertisements for his products.|Did either the federal or California's obscenity restrictions, prohibiting the sale or transfer of obscene materials through the mail, impinge upon the freedom of expression as guaranteed by the First Amendment?
